"","x"
"1","1"
"2","3"
"3","2"
"4","4"
"5","4"
"6","1"
"7","4"
"8","9"
"9","5"
"10","1"
"11","1"
"12","3"
"13","1"
"14","6"
"15","5"
"16","7"
"17","2"
"18","6"
"19","1"
"20","6"
"21","2"
"22","6"
"23","4"
"24","7"
"25","5"
"26","5"
"27","4"
"28","5"
"29","1"
"30","1"
"31","3"
"32","5"
"33","8"
"34","10"
"35","1"
"36","1"
"37","6"
"38","2"
"39","4"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","9"
"47","7"
"48","9"
"49","10"
"50","2"
"51","1"
"52","8"
"53","1"
"54","1"
"55","7"
"56","3"
"57","7"
"58","6"
"59","1"
"60","9"
"61","1"
"62","1"
"63","9"
"64","1"
"65","3"
"66","6"
"67","1"
"68","1"
"69","1"
"70","7"
"71","4"
"72","1"
"73","1"
"74","6"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","6"
"81","6"
"82","9"
"83","6"
"84","1"
"85","1"
"86","1"
"87","10"
"88","8"
"89","4"
"90","2"
"91","9"
"92","1"
"93","1"
"94","1"
"95","9"
"96","1"
"97","2"
"98","6"
"99","5"
"100","1"
