"","x"
"1","4"
"2","6"
"3","2"
"4","1"
"5","1"
"6","4"
"7","1"
"8","8"
"9","5"
"10","4"
"11","3"
"12","7"
"13","4"
"14","5"
"15","9"
"16","9"
"17","2"
"18","5"
"19","3"
"20","8"
"21","2"
"22","5"
"23","1"
"24","5"
"25","5"
"26","5"
"27","1"
"28","5"
"29","3"
"30","3"
"31","6"
"32","5"
"33","5"
"34","4"
"35","4"
"36","4"
"37","5"
"38","2"
"39","1"
"40","3"
"41","3"
"42","3"
"43","5"
"44","3"
"45","8"
"46","5"
"47","9"
"48","5"
"49","3"
"50","2"
"51","3"
"52","5"
"53","3"
"54","3"
"55","8"
"56","6"
"57","9"
"58","5"
"59","4"
"60","5"
"61","3"
"62","3"
"63","5"
"64","3"
"65","6"
"66","5"
"67","8"
"68","3"
"69","3"
"70","9"
"71","1"
"72","3"
"73","3"
"74","5"
"75","3"
"76","4"
"77","4"
"78","3"
"79","5"
"80","5"
"81","4"
"82","5"
"83","4"
"84","4"
"85","3"
"86","4"
"87","3"
"88","5"
"89","1"
"90","1"
"91","5"
"92","4"
"93","3"
"94","4"
"95","5"
"96","4"
"97","2"
"98","5"
"99","9"
"100","8"
"101","2"
"102","4"
"103","4"
"104","5"
"105","5"
"106","4"
"107","4"
"108","2"
"109","3"
"110","8"
"111","3"
"112","4"
"113","6"
"114","2"
"115","5"
"116","2"
"117","5"
"118","5"
"119","5"
"120","7"
"121","1"
"122","5"
"123","2"
"124","5"
"125","2"
"126","1"
"127","6"
"128","4"
"129","3"
"130","5"
"131","5"
"132","5"
"133","2"
"134","3"
"135","3"
"136","5"
"137","9"
"138","5"
"139","8"
"140","4"
"141","4"
"142","3"
"143","6"
"144","8"
"145","2"
"146","8"
"147","8"
"148","3"
"149","3"
"150","4"
"151","3"
"152","4"
"153","3"
"154","5"
"155","3"
"156","1"
"157","8"
"158","4"
"159","5"
"160","5"
"161","6"
"162","5"
"163","5"
"164","8"
"165","4"
"166","2"
"167","1"
