"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",3,3,3,3,3,3,3,3,2
"V2",9,2,2,2,2,2,2,2,2
"V3",10,9,8,7,6,5,1,1,1
"V4",6,6,5,5,4,4,4,1,1
"V5",5,5,1,1,1,1,1,1,1
"V6",3,3,3,3,3,3,3,3,2
"V7",8,8,7,1,1,1,1,1,1
"V8",2,2,2,2,2,2,2,2,2
"V9",4,4,4,4,2,2,2,2,2
"V10",3,3,3,3,3,3,3,3,2
"V11",6,6,5,5,4,4,4,1,1
"V12",7,7,6,6,5,1,1,1,1
"V13",3,3,3,3,3,3,3,3,2
"V14",4,4,4,4,2,2,2,2,2
"V15",3,3,3,3,3,3,3,3,2
"V16",2,2,2,2,2,2,2,2,2
"V17",10,9,8,7,6,5,1,1,1
"V18",4,4,4,4,2,2,2,2,2
"V19",6,6,5,5,4,4,4,1,1
"V20",6,6,5,5,4,4,4,1,1
"V21",10,9,8,7,6,5,1,1,1
"V22",3,3,3,3,3,3,3,3,2
"V23",1,1,1,1,1,1,1,1,1
"V24",2,2,2,2,2,2,2,2,2
"V25",2,2,2,2,2,2,2,2,2
"V26",4,4,4,4,2,2,2,2,2
"V27",6,6,5,5,4,4,4,1,1
"V28",4,4,4,4,2,2,2,2,2
"V29",6,6,5,5,4,4,4,1,1
"V30",6,6,5,5,4,4,4,1,1
"V31",9,2,2,2,2,2,2,2,2
"V32",4,4,4,4,2,2,2,2,2
"V33",2,2,2,2,2,2,2,2,2
"V34",6,6,5,5,4,4,4,1,1
"V35",3,3,3,3,3,3,3,3,2
"V36",3,3,3,3,3,3,3,3,2
"V37",3,3,3,3,3,3,3,3,2
"V38",10,9,8,7,6,5,1,1,1
"V39",1,1,1,1,1,1,1,1,1
"V40",3,3,3,3,3,3,3,3,2
"V41",3,3,3,3,3,3,3,3,2
"V42",6,6,5,5,4,4,4,1,1
"V43",3,3,3,3,3,3,3,3,2
"V44",6,6,5,5,4,4,4,1,1
"V45",2,2,2,2,2,2,2,2,2
"V46",2,2,2,2,2,2,2,2,2
"V47",3,3,3,3,3,3,3,3,2
"V48",2,2,2,2,2,2,2,2,2
"V49",6,6,5,5,4,4,4,1,1
"V50",10,9,8,7,6,5,1,1,1
"V51",3,3,3,3,3,3,3,3,2
"V52",2,2,2,2,2,2,2,2,2
"V53",3,3,3,3,3,3,3,3,2
"V54",3,3,3,3,3,3,3,3,2
"V55",6,6,5,5,4,4,4,1,1
"V56",7,7,6,6,5,1,1,1,1
"V57",6,6,5,5,4,4,4,1,1
"V58",4,4,4,4,2,2,2,2,2
"V59",3,3,3,3,3,3,3,3,2
"V60",4,4,4,4,2,2,2,2,2
"V61",6,6,5,5,4,4,4,1,1
"V62",3,3,3,3,3,3,3,3,2
"V63",4,4,4,4,2,2,2,2,2
"V64",6,6,5,5,4,4,4,1,1
"V65",9,2,2,2,2,2,2,2,2
"V66",4,4,4,4,2,2,2,2,2
"V67",6,6,5,5,4,4,4,1,1
"V68",3,3,3,3,3,3,3,3,2
"V69",6,6,5,5,4,4,4,1,1
"V70",2,2,2,2,2,2,2,2,2
"V71",5,5,1,1,1,1,1,1,1
"V72",6,6,5,5,4,4,4,1,1
"V73",6,6,5,5,4,4,4,1,1
"V74",4,4,4,4,2,2,2,2,2
"V75",6,6,5,5,4,4,4,1,1
"V76",3,3,3,3,3,3,3,3,2
"V77",3,3,3,3,3,3,3,3,2
"V78",6,6,5,5,4,4,4,1,1
"V79",3,3,3,3,3,3,3,3,2
"V80",3,3,3,3,3,3,3,3,2
"V81",3,3,3,3,3,3,3,3,2
"V82",4,4,4,4,2,2,2,2,2
"V83",3,3,3,3,3,3,3,3,2
"V84",3,3,3,3,3,3,3,3,2
"V85",3,3,3,3,3,3,3,3,2
"V86",3,3,3,3,3,3,3,3,2
"V87",2,2,2,2,2,2,2,2,2
"V88",6,6,5,5,4,4,4,1,1
"V89",1,1,1,1,1,1,1,1,1
"V90",1,1,1,1,1,1,1,1,1
"V91",4,4,4,4,2,2,2,2,2
"V92",4,4,4,4,2,2,2,2,2
"V93",2,2,2,2,2,2,2,2,2
"V94",6,6,5,5,4,4,4,1,1
"V95",4,4,4,4,2,2,2,2,2
"V96",3,3,3,3,3,3,3,3,2
"V97",10,9,8,7,6,5,1,1,1
"V98",3,3,3,3,3,3,3,3,2
"V99",3,3,3,3,3,3,3,3,2
"V100",3,3,3,3,3,3,3,3,2
