"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",9,8,7,6,4,4,4,3,2
"V2",2,2,2,2,2,2,2,2,1
"V3",8,7,6,3,3,3,3,3,2
"V4",7,2,2,2,2,2,2,2,1
"V5",6,6,5,5,5,2,2,2,1
"V6",5,5,4,4,4,4,4,3,2
"V7",6,6,5,5,5,2,2,2,1
"V8",3,3,1,1,1,1,1,1,1
"V9",1,1,1,1,1,1,1,1,1
"V10",5,5,4,4,4,4,4,3,2
"V11",10,9,8,7,6,5,1,1,1
"V12",7,2,2,2,2,2,2,2,1
"V13",9,8,7,6,4,4,4,3,2
"V14",1,1,1,1,1,1,1,1,1
"V15",4,4,3,3,3,3,3,3,2
"V16",3,3,1,1,1,1,1,1,1
"V17",8,7,6,3,3,3,3,3,2
"V18",1,1,1,1,1,1,1,1,1
"V19",10,9,8,7,6,5,1,1,1
"V20",10,9,8,7,6,5,1,1,1
"V21",8,7,6,3,3,3,3,3,2
"V22",9,8,7,6,4,4,4,3,2
"V23",7,2,2,2,2,2,2,2,1
"V24",3,3,1,1,1,1,1,1,1
"V25",3,3,1,1,1,1,1,1,1
"V26",1,1,1,1,1,1,1,1,1
"V27",7,2,2,2,2,2,2,2,1
"V28",4,4,3,3,3,3,3,3,2
"V29",10,9,8,7,6,5,1,1,1
"V30",10,9,8,7,6,5,1,1,1
"V31",2,2,2,2,2,2,2,2,1
"V32",4,4,3,3,3,3,3,3,2
"V33",1,1,1,1,1,1,1,1,1
"V34",5,5,4,4,4,4,4,3,2
"V35",5,5,4,4,4,4,4,3,2
"V36",9,8,7,6,4,4,4,3,2
"V37",5,5,4,4,4,4,4,3,2
"V38",8,7,6,3,3,3,3,3,2
"V39",6,6,5,5,5,2,2,2,1
"V40",10,9,8,7,6,5,1,1,1
"V41",9,8,7,6,4,4,4,3,2
"V42",10,9,8,7,6,5,1,1,1
"V43",5,5,4,4,4,4,4,3,2
"V44",10,9,8,7,6,5,1,1,1
"V45",3,3,1,1,1,1,1,1,1
"V46",3,3,1,1,1,1,1,1,1
"V47",1,1,1,1,1,1,1,1,1
"V48",3,3,1,1,1,1,1,1,1
"V49",10,9,8,7,6,5,1,1,1
"V50",8,7,6,3,3,3,3,3,2
"V51",9,8,7,6,4,4,4,3,2
"V52",3,3,1,1,1,1,1,1,1
"V53",9,8,7,6,4,4,4,3,2
"V54",9,8,7,6,4,4,4,3,2
"V55",10,9,8,7,6,5,1,1,1
"V56",7,2,2,2,2,2,2,2,1
"V57",10,9,8,7,6,5,1,1,1
"V58",1,1,1,1,1,1,1,1,1
"V59",9,8,7,6,4,4,4,3,2
"V60",1,1,1,1,1,1,1,1,1
"V61",10,9,8,7,6,5,1,1,1
"V62",9,8,7,6,4,4,4,3,2
"V63",1,1,1,1,1,1,1,1,1
"V64",10,9,8,7,6,5,1,1,1
"V65",2,2,2,2,2,2,2,2,1
"V66",1,1,1,1,1,1,1,1,1
"V67",10,9,8,7,6,5,1,1,1
"V68",9,8,7,6,4,4,4,3,2
"V69",10,9,8,7,6,5,1,1,1
"V70",3,3,1,1,1,1,1,1,1
"V71",6,6,5,5,5,2,2,2,1
"V72",10,9,8,7,6,5,1,1,1
"V73",10,9,8,7,6,5,1,1,1
"V74",1,1,1,1,1,1,1,1,1
"V75",10,9,8,7,6,5,1,1,1
"V76",5,5,4,4,4,4,4,3,2
"V77",9,8,7,6,4,4,4,3,2
"V78",10,9,8,7,6,5,1,1,1
"V79",9,8,7,6,4,4,4,3,2
"V80",9,8,7,6,4,4,4,3,2
"V81",5,5,4,4,4,4,4,3,2
"V82",5,5,4,4,4,4,4,3,2
"V83",9,8,7,6,4,4,4,3,2
"V84",9,8,7,6,4,4,4,3,2
"V85",9,8,7,6,4,4,4,3,2
"V86",5,5,4,4,4,4,4,3,2
"V87",3,3,1,1,1,1,1,1,1
"V88",5,5,4,4,4,4,4,3,2
"V89",6,6,5,5,5,2,2,2,1
"V90",6,6,5,5,5,2,2,2,1
"V91",1,1,1,1,1,1,1,1,1
"V92",5,5,4,4,4,4,4,3,2
"V93",3,3,1,1,1,1,1,1,1
"V94",5,5,4,4,4,4,4,3,2
"V95",1,1,1,1,1,1,1,1,1
"V96",9,8,7,6,4,4,4,3,2
"V97",8,7,6,3,3,3,3,3,2
"V98",9,8,7,6,4,4,4,3,2
"V99",1,1,1,1,1,1,1,1,1
"V100",9,8,7,6,4,4,4,3,2
"V101",8,7,6,3,3,3,3,3,2
"V102",5,5,4,4,4,4,4,3,2
"V103",5,5,4,4,4,4,4,3,2
"V104",1,1,1,1,1,1,1,1,1
"V105",3,3,1,1,1,1,1,1,1
"V106",9,8,7,6,4,4,4,3,2
"V107",10,9,8,7,6,5,1,1,1
"V108",8,7,6,3,3,3,3,3,2
"V109",10,9,8,7,6,5,1,1,1
"V110",9,8,7,6,4,4,4,3,2
"V111",9,8,7,6,4,4,4,3,2
"V112",4,4,3,3,3,3,3,3,2
"V113",2,2,2,2,2,2,2,2,1
"V114",8,7,6,3,3,3,3,3,2
"V115",1,1,1,1,1,1,1,1,1
"V116",8,7,6,3,3,3,3,3,2
"V117",4,4,3,3,3,3,3,3,2
"V118",1,1,1,1,1,1,1,1,1
"V119",9,8,7,6,4,4,4,3,2
"V120",9,8,7,6,4,4,4,3,2
"V121",6,6,5,5,5,2,2,2,1
"V122",5,5,4,4,4,4,4,3,2
"V123",8,7,6,3,3,3,3,3,2
"V124",5,5,4,4,4,4,4,3,2
"V125",8,7,6,3,3,3,3,3,2
"V126",7,2,2,2,2,2,2,2,1
"V127",2,2,2,2,2,2,2,2,1
"V128",5,5,4,4,4,4,4,3,2
"V129",10,9,8,7,6,5,1,1,1
"V130",5,5,4,4,4,4,4,3,2
"V131",1,1,1,1,1,1,1,1,1
"V132",1,1,1,1,1,1,1,1,1
"V133",8,7,6,3,3,3,3,3,2
"V134",10,9,8,7,6,5,1,1,1
"V135",3,3,1,1,1,1,1,1,1
"V136",3,3,1,1,1,1,1,1,1
"V137",3,3,1,1,1,1,1,1,1
"V138",4,4,3,3,3,3,3,3,2
"V139",3,3,1,1,1,1,1,1,1
"V140",9,8,7,6,4,4,4,3,2
"V141",5,5,4,4,4,4,4,3,2
"V142",10,9,8,7,6,5,1,1,1
"V143",2,2,2,2,2,2,2,2,1
"V144",3,3,1,1,1,1,1,1,1
"V145",8,7,6,3,3,3,3,3,2
"V146",10,9,8,7,6,5,1,1,1
"V147",10,9,8,7,6,5,1,1,1
"V148",3,3,1,1,1,1,1,1,1
"V149",9,8,7,6,4,4,4,3,2
"V150",9,8,7,6,4,4,4,3,2
"V151",4,4,3,3,3,3,3,3,2
"V152",9,8,7,6,4,4,4,3,2
"V153",10,9,8,7,6,5,1,1,1
"V154",1,1,1,1,1,1,1,1,1
"V155",10,9,8,7,6,5,1,1,1
"V156",6,6,5,5,5,2,2,2,1
"V157",10,9,8,7,6,5,1,1,1
"V158",4,4,3,3,3,3,3,3,2
"V159",1,1,1,1,1,1,1,1,1
"V160",4,4,3,3,3,3,3,3,2
"V161",2,2,2,2,2,2,2,2,1
"V162",5,5,4,4,4,4,4,3,2
"V163",1,1,1,1,1,1,1,1,1
"V164",9,8,7,6,4,4,4,3,2
"V165",5,5,4,4,4,4,4,3,2
"V166",8,7,6,3,3,3,3,3,2
"V167",6,6,5,5,5,2,2,2,1
"V168",9,8,7,6,4,4,4,3,2
"V169",6,6,5,5,5,2,2,2,1
"V170",9,8,7,6,4,4,4,3,2
"V171",10,9,8,7,6,5,1,1,1
"V172",8,7,6,3,3,3,3,3,2
"V173",4,4,3,3,3,3,3,3,2
"V174",8,7,6,3,3,3,3,3,2
"V175",6,6,5,5,5,2,2,2,1
"V176",8,7,6,3,3,3,3,3,2
"V177",9,8,7,6,4,4,4,3,2
"V178",9,8,7,6,4,4,4,3,2
"V179",9,8,7,6,4,4,4,3,2
"V180",1,1,1,1,1,1,1,1,1
"V181",3,3,1,1,1,1,1,1,1
"V182",5,5,4,4,4,4,4,3,2
"V183",2,2,2,2,2,2,2,2,1
"V184",9,8,7,6,4,4,4,3,2
"V185",5,5,4,4,4,4,4,3,2
"V186",8,7,6,3,3,3,3,3,2
"V187",6,6,5,5,5,2,2,2,1
"V188",5,5,4,4,4,4,4,3,2
"V189",1,1,1,1,1,1,1,1,1
"V190",5,5,4,4,4,4,4,3,2
"V191",8,7,6,3,3,3,3,3,2
"V192",5,5,4,4,4,4,4,3,2
"V193",8,7,6,3,3,3,3,3,2
"V194",8,7,6,3,3,3,3,3,2
"V195",2,2,2,2,2,2,2,2,1
"V196",10,9,8,7,6,5,1,1,1
"V197",9,8,7,6,4,4,4,3,2
"V198",7,2,2,2,2,2,2,2,1
"V199",9,8,7,6,4,4,4,3,2
"V200",10,9,8,7,6,5,1,1,1
"V201",6,6,5,5,5,2,2,2,1
"V202",10,9,8,7,6,5,1,1,1
"V203",5,5,4,4,4,4,4,3,2
"V204",9,8,7,6,4,4,4,3,2
"V205",10,9,8,7,6,5,1,1,1
"V206",1,1,1,1,1,1,1,1,1
"V207",6,6,5,5,5,2,2,2,1
"V208",10,9,8,7,6,5,1,1,1
"V209",9,8,7,6,4,4,4,3,2
"V210",5,5,4,4,4,4,4,3,2
"V211",10,9,8,7,6,5,1,1,1
"V212",9,8,7,6,4,4,4,3,2
"V213",5,5,4,4,4,4,4,3,2
"V214",3,3,1,1,1,1,1,1,1
"V215",5,5,4,4,4,4,4,3,2
"V216",9,8,7,6,4,4,4,3,2
"V217",10,9,8,7,6,5,1,1,1
"V218",9,8,7,6,4,4,4,3,2
"V219",9,8,7,6,4,4,4,3,2
"V220",3,3,1,1,1,1,1,1,1
"V221",7,2,2,2,2,2,2,2,1
"V222",10,9,8,7,6,5,1,1,1
"V223",10,9,8,7,6,5,1,1,1
"V224",4,4,3,3,3,3,3,3,2
"V225",5,5,4,4,4,4,4,3,2
"V226",6,6,5,5,5,2,2,2,1
"V227",5,5,4,4,4,4,4,3,2
"V228",9,8,7,6,4,4,4,3,2
"V229",2,2,2,2,2,2,2,2,1
"V230",7,2,2,2,2,2,2,2,1
"V231",10,9,8,7,6,5,1,1,1
"V232",10,9,8,7,6,5,1,1,1
"V233",8,7,6,3,3,3,3,3,2
"V234",9,8,7,6,4,4,4,3,2
"V235",8,7,6,3,3,3,3,3,2
"V236",10,9,8,7,6,5,1,1,1
"V237",4,4,3,3,3,3,3,3,2
"V238",5,5,4,4,4,4,4,3,2
"V239",6,6,5,5,5,2,2,2,1
"V240",5,5,4,4,4,4,4,3,2
"V241",6,6,5,5,5,2,2,2,1
"V242",5,5,4,4,4,4,4,3,2
"V243",5,5,4,4,4,4,4,3,2
"V244",3,3,1,1,1,1,1,1,1
"V245",10,9,8,7,6,5,1,1,1
"V246",8,7,6,3,3,3,3,3,2
"V247",10,9,8,7,6,5,1,1,1
"V248",10,9,8,7,6,5,1,1,1
"V249",9,8,7,6,4,4,4,3,2
"V250",10,9,8,7,6,5,1,1,1
"V251",10,9,8,7,6,5,1,1,1
"V252",9,8,7,6,4,4,4,3,2
"V253",6,6,5,5,5,2,2,2,1
"V254",9,8,7,6,4,4,4,3,2
"V255",10,9,8,7,6,5,1,1,1
"V256",1,1,1,1,1,1,1,1,1
"V257",3,3,1,1,1,1,1,1,1
"V258",10,9,8,7,6,5,1,1,1
"V259",10,9,8,7,6,5,1,1,1
"V260",10,9,8,7,6,5,1,1,1
"V261",9,8,7,6,4,4,4,3,2
"V262",10,9,8,7,6,5,1,1,1
"V263",5,5,4,4,4,4,4,3,2
"V264",5,5,4,4,4,4,4,3,2
"V265",7,2,2,2,2,2,2,2,1
"V266",4,4,3,3,3,3,3,3,2
"V267",9,8,7,6,4,4,4,3,2
"V268",8,7,6,3,3,3,3,3,2
"V269",6,6,5,5,5,2,2,2,1
"V270",9,8,7,6,4,4,4,3,2
"V271",8,7,6,3,3,3,3,3,2
"V272",10,9,8,7,6,5,1,1,1
"V273",7,2,2,2,2,2,2,2,1
"V274",9,8,7,6,4,4,4,3,2
"V275",4,4,3,3,3,3,3,3,2
"V276",5,5,4,4,4,4,4,3,2
"V277",5,5,4,4,4,4,4,3,2
"V278",10,9,8,7,6,5,1,1,1
"V279",9,8,7,6,4,4,4,3,2
"V280",2,2,2,2,2,2,2,2,1
"V281",6,6,5,5,5,2,2,2,1
"V282",10,9,8,7,6,5,1,1,1
"V283",6,6,5,5,5,2,2,2,1
"V284",5,5,4,4,4,4,4,3,2
"V285",5,5,4,4,4,4,4,3,2
"V286",4,4,3,3,3,3,3,3,2
"V287",7,2,2,2,2,2,2,2,1
"V288",4,4,3,3,3,3,3,3,2
"V289",9,8,7,6,4,4,4,3,2
"V290",6,6,5,5,5,2,2,2,1
"V291",3,3,1,1,1,1,1,1,1
"V292",7,2,2,2,2,2,2,2,1
"V293",3,3,1,1,1,1,1,1,1
"V294",1,1,1,1,1,1,1,1,1
"V295",3,3,1,1,1,1,1,1,1
"V296",9,8,7,6,4,4,4,3,2
"V297",7,2,2,2,2,2,2,2,1
"V298",1,1,1,1,1,1,1,1,1
"V299",5,5,4,4,4,4,4,3,2
"V300",9,8,7,6,4,4,4,3,2
"V301",4,4,3,3,3,3,3,3,2
"V302",1,1,1,1,1,1,1,1,1
"V303",7,2,2,2,2,2,2,2,1
"V304",9,8,7,6,4,4,4,3,2
"V305",6,6,5,5,5,2,2,2,1
"V306",10,9,8,7,6,5,1,1,1
"V307",6,6,5,5,5,2,2,2,1
"V308",8,7,6,3,3,3,3,3,2
"V309",5,5,4,4,4,4,4,3,2
"V310",2,2,2,2,2,2,2,2,1
"V311",6,6,5,5,5,2,2,2,1
"V312",10,9,8,7,6,5,1,1,1
"V313",9,8,7,6,4,4,4,3,2
"V314",1,1,1,1,1,1,1,1,1
"V315",8,7,6,3,3,3,3,3,2
"V316",7,2,2,2,2,2,2,2,1
"V317",6,6,5,5,5,2,2,2,1
"V318",1,1,1,1,1,1,1,1,1
"V319",4,4,3,3,3,3,3,3,2
"V320",5,5,4,4,4,4,4,3,2
"V321",9,8,7,6,4,4,4,3,2
"V322",1,1,1,1,1,1,1,1,1
"V323",5,5,4,4,4,4,4,3,2
"V324",6,6,5,5,5,2,2,2,1
"V325",9,8,7,6,4,4,4,3,2
"V326",6,6,5,5,5,2,2,2,1
"V327",7,2,2,2,2,2,2,2,1
"V328",8,7,6,3,3,3,3,3,2
"V329",9,8,7,6,4,4,4,3,2
"V330",6,6,5,5,5,2,2,2,1
"V331",4,4,3,3,3,3,3,3,2
"V332",1,1,1,1,1,1,1,1,1
"V333",10,9,8,7,6,5,1,1,1
"V334",10,9,8,7,6,5,1,1,1
"V335",9,8,7,6,4,4,4,3,2
"V336",2,2,2,2,2,2,2,2,1
"V337",1,1,1,1,1,1,1,1,1
"V338",8,7,6,3,3,3,3,3,2
"V339",6,6,5,5,5,2,2,2,1
"V340",3,3,1,1,1,1,1,1,1
"V341",6,6,5,5,5,2,2,2,1
"V342",1,1,1,1,1,1,1,1,1
"V343",9,8,7,6,4,4,4,3,2
"V344",1,1,1,1,1,1,1,1,1
"V345",7,2,2,2,2,2,2,2,1
"V346",10,9,8,7,6,5,1,1,1
"V347",6,6,5,5,5,2,2,2,1
"V348",10,9,8,7,6,5,1,1,1
"V349",1,1,1,1,1,1,1,1,1
