"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",4,3,3,3,3,3,2,2,2
"V2",3,1,1,1,1,1,1,1,1
"V3",6,5,5,5,5,5,4,2,2
"V4",2,2,2,2,2,2,1,1,1
"V5",5,4,4,4,4,4,3,3,1
"V6",4,3,3,3,3,3,2,2,2
"V7",5,4,4,4,4,4,3,3,1
"V8",1,1,1,1,1,1,1,1,1
"V9",9,8,5,5,5,5,4,2,2
"V10",4,3,3,3,3,3,2,2,2
"V11",2,2,2,2,2,2,1,1,1
"V12",7,6,6,6,6,4,3,3,1
"V13",4,3,3,3,3,3,2,2,2
"V14",10,9,8,5,5,5,4,2,2
"V15",9,8,5,5,5,5,4,2,2
"V16",1,1,1,1,1,1,1,1,1
"V17",6,5,5,5,5,5,4,2,2
"V18",10,9,8,5,5,5,4,2,2
"V19",2,2,2,2,2,2,1,1,1
"V20",10,9,8,5,5,5,4,2,2
"V21",6,5,5,5,5,5,4,2,2
"V22",4,3,3,3,3,3,2,2,2
"V23",5,4,4,4,4,4,3,3,1
"V24",1,1,1,1,1,1,1,1,1
"V25",1,1,1,1,1,1,1,1,1
"V26",9,8,5,5,5,5,4,2,2
"V27",2,2,2,2,2,2,1,1,1
"V28",9,8,5,5,5,5,4,2,2
"V29",2,2,2,2,2,2,1,1,1
"V30",2,2,2,2,2,2,1,1,1
"V31",3,1,1,1,1,1,1,1,1
"V32",9,8,5,5,5,5,4,2,2
"V33",10,9,8,5,5,5,4,2,2
"V34",2,2,2,2,2,2,1,1,1
"V35",10,9,8,5,5,5,4,2,2
"V36",4,3,3,3,3,3,2,2,2
"V37",4,3,3,3,3,3,2,2,2
"V38",6,5,5,5,5,5,4,2,2
"V39",5,4,4,4,4,4,3,3,1
"V40",4,3,3,3,3,3,2,2,2
"V41",4,3,3,3,3,3,2,2,2
"V42",2,2,2,2,2,2,1,1,1
"V43",4,3,3,3,3,3,2,2,2
"V44",2,2,2,2,2,2,1,1,1
"V45",1,1,1,1,1,1,1,1,1
"V46",1,1,1,1,1,1,1,1,1
"V47",9,8,5,5,5,5,4,2,2
"V48",1,1,1,1,1,1,1,1,1
"V49",2,2,2,2,2,2,1,1,1
"V50",6,5,5,5,5,5,4,2,2
"V51",4,3,3,3,3,3,2,2,2
"V52",1,1,1,1,1,1,1,1,1
"V53",4,3,3,3,3,3,2,2,2
"V54",4,3,3,3,3,3,2,2,2
"V55",2,2,2,2,2,2,1,1,1
"V56",8,7,7,7,4,4,3,3,1
"V57",10,9,8,5,5,5,4,2,2
"V58",10,9,8,5,5,5,4,2,2
"V59",4,3,3,3,3,3,2,2,2
"V60",10,9,8,5,5,5,4,2,2
"V61",2,2,2,2,2,2,1,1,1
"V62",4,3,3,3,3,3,2,2,2
"V63",10,9,8,5,5,5,4,2,2
"V64",2,2,2,2,2,2,1,1,1
"V65",3,1,1,1,1,1,1,1,1
"V66",10,9,8,5,5,5,4,2,2
"V67",2,2,2,2,2,2,1,1,1
"V68",4,3,3,3,3,3,2,2,2
"V69",2,2,2,2,2,2,1,1,1
"V70",1,1,1,1,1,1,1,1,1
"V71",5,4,4,4,4,4,3,3,1
"V72",2,2,2,2,2,2,1,1,1
"V73",2,2,2,2,2,2,1,1,1
"V74",10,9,8,5,5,5,4,2,2
"V75",2,2,2,2,2,2,1,1,1
"V76",4,3,3,3,3,3,2,2,2
"V77",4,3,3,3,3,3,2,2,2
"V78",2,2,2,2,2,2,1,1,1
"V79",4,3,3,3,3,3,2,2,2
"V80",4,3,3,3,3,3,2,2,2
"V81",4,3,3,3,3,3,2,2,2
"V82",10,9,8,5,5,5,4,2,2
"V83",4,3,3,3,3,3,2,2,2
"V84",4,3,3,3,3,3,2,2,2
"V85",4,3,3,3,3,3,2,2,2
"V86",4,3,3,3,3,3,2,2,2
"V87",1,1,1,1,1,1,1,1,1
"V88",10,9,8,5,5,5,4,2,2
"V89",5,4,4,4,4,4,3,3,1
"V90",5,4,4,4,4,4,3,3,1
"V91",10,9,8,5,5,5,4,2,2
"V92",10,9,8,5,5,5,4,2,2
"V93",1,1,1,1,1,1,1,1,1
"V94",10,9,8,5,5,5,4,2,2
"V95",9,8,5,5,5,5,4,2,2
"V96",4,3,3,3,3,3,2,2,2
"V97",6,5,5,5,5,5,4,2,2
"V98",4,3,3,3,3,3,2,2,2
"V99",9,8,5,5,5,5,4,2,2
"V100",4,3,3,3,3,3,2,2,2
