"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",7,6,6,5,5,5,4,1,1
"V2",6,4,4,4,4,4,3,3,2
"V3",5,5,5,2,2,2,2,2,2
"V4",8,7,5,2,2,2,2,2,2
"V5",2,2,2,2,2,2,2,2,2
"V6",7,6,6,5,5,5,4,1,1
"V7",2,2,2,2,2,2,2,2,2
"V8",4,4,4,4,4,4,3,3,2
"V9",10,9,8,7,4,4,3,3,2
"V10",7,6,6,5,5,5,4,1,1
"V11",1,1,1,1,1,1,1,1,1
"V12",3,3,3,3,3,3,2,2,2
"V13",7,6,6,5,5,5,4,1,1
"V14",10,9,8,7,4,4,3,3,2
"V15",7,6,6,5,5,5,4,1,1
"V16",4,4,4,4,4,4,3,3,2
"V17",5,5,5,2,2,2,2,2,2
"V18",10,9,8,7,4,4,3,3,2
"V19",1,1,1,1,1,1,1,1,1
"V20",1,1,1,1,1,1,1,1,1
"V21",5,5,5,2,2,2,2,2,2
"V22",7,6,6,5,5,5,4,1,1
"V23",8,7,5,2,2,2,2,2,2
"V24",4,4,4,4,4,4,3,3,2
"V25",4,4,4,4,4,4,3,3,2
"V26",10,9,8,7,4,4,3,3,2
"V27",1,1,1,1,1,1,1,1,1
"V28",10,9,8,7,4,4,3,3,2
"V29",1,1,1,1,1,1,1,1,1
"V30",1,1,1,1,1,1,1,1,1
"V31",6,4,4,4,4,4,3,3,2
"V32",10,9,8,7,4,4,3,3,2
"V33",4,4,4,4,4,4,3,3,2
"V34",1,1,1,1,1,1,1,1,1
"V35",7,6,6,5,5,5,4,1,1
"V36",7,6,6,5,5,5,4,1,1
"V37",7,6,6,5,5,5,4,1,1
"V38",5,5,5,2,2,2,2,2,2
"V39",2,2,2,2,2,2,2,2,2
"V40",1,1,1,1,1,1,1,1,1
"V41",7,6,6,5,5,5,4,1,1
"V42",1,1,1,1,1,1,1,1,1
"V43",7,6,6,5,5,5,4,1,1
"V44",1,1,1,1,1,1,1,1,1
"V45",4,4,4,4,4,4,3,3,2
"V46",4,4,4,4,4,4,3,3,2
"V47",7,6,6,5,5,5,4,1,1
"V48",4,4,4,4,4,4,3,3,2
"V49",1,1,1,1,1,1,1,1,1
"V50",5,5,5,2,2,2,2,2,2
"V51",7,6,6,5,5,5,4,1,1
"V52",4,4,4,4,4,4,3,3,2
"V53",7,6,6,5,5,5,4,1,1
"V54",7,6,6,5,5,5,4,1,1
"V55",1,1,1,1,1,1,1,1,1
"V56",9,8,7,6,6,2,2,2,2
"V57",1,1,1,1,1,1,1,1,1
"V58",10,9,8,7,4,4,3,3,2
"V59",7,6,6,5,5,5,4,1,1
"V60",10,9,8,7,4,4,3,3,2
"V61",1,1,1,1,1,1,1,1,1
"V62",7,6,6,5,5,5,4,1,1
"V63",10,9,8,7,4,4,3,3,2
"V64",1,1,1,1,1,1,1,1,1
"V65",6,4,4,4,4,4,3,3,2
"V66",10,9,8,7,4,4,3,3,2
"V67",1,1,1,1,1,1,1,1,1
"V68",7,6,6,5,5,5,4,1,1
"V69",1,1,1,1,1,1,1,1,1
"V70",4,4,4,4,4,4,3,3,2
"V71",8,7,5,2,2,2,2,2,2
"V72",1,1,1,1,1,1,1,1,1
"V73",1,1,1,1,1,1,1,1,1
"V74",10,9,8,7,4,4,3,3,2
"V75",1,1,1,1,1,1,1,1,1
"V76",7,6,6,5,5,5,4,1,1
"V77",7,6,6,5,5,5,4,1,1
"V78",1,1,1,1,1,1,1,1,1
"V79",7,6,6,5,5,5,4,1,1
"V80",7,6,6,5,5,5,4,1,1
"V81",7,6,6,5,5,5,4,1,1
"V82",10,9,8,7,4,4,3,3,2
"V83",7,6,6,5,5,5,4,1,1
"V84",7,6,6,5,5,5,4,1,1
"V85",7,6,6,5,5,5,4,1,1
"V86",7,6,6,5,5,5,4,1,1
"V87",4,4,4,4,4,4,3,3,2
"V88",1,1,1,1,1,1,1,1,1
"V89",8,7,5,2,2,2,2,2,2
"V90",8,7,5,2,2,2,2,2,2
"V91",10,9,8,7,4,4,3,3,2
"V92",10,9,8,7,4,4,3,3,2
"V93",4,4,4,4,4,4,3,3,2
"V94",1,1,1,1,1,1,1,1,1
"V95",10,9,8,7,4,4,3,3,2
"V96",7,6,6,5,5,5,4,1,1
"V97",5,5,5,2,2,2,2,2,2
"V98",7,6,6,5,5,5,4,1,1
"V99",7,6,6,5,5,5,4,1,1
"V100",7,6,6,5,5,5,4,1,1
