"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",4,4,4,4,4,3,3,3,2
"V2",5,5,5,5,3,2,2,2,2
"V3",10,9,8,7,6,5,3,3,2
"V4",6,6,5,5,3,2,2,2,2
"V5",3,3,3,3,3,2,2,2,2
"V6",1,1,1,1,1,1,1,1,1
"V7",3,3,3,3,3,2,2,2,2
"V8",2,2,2,2,2,1,1,1,1
"V9",8,8,7,7,6,5,3,3,2
"V10",1,1,1,1,1,1,1,1,1
"V11",7,7,6,6,5,4,4,1,1
"V12",6,6,5,5,3,2,2,2,2
"V13",4,4,4,4,4,3,3,3,2
"V14",1,1,1,1,1,1,1,1,1
"V15",8,8,7,7,6,5,3,3,2
"V16",2,2,2,2,2,1,1,1,1
"V17",10,9,8,7,6,5,3,3,2
"V18",1,1,1,1,1,1,1,1,1
"V19",7,7,6,6,5,4,4,1,1
"V20",7,7,6,6,5,4,4,1,1
"V21",10,9,8,7,6,5,3,3,2
"V22",4,4,4,4,4,3,3,3,2
"V23",6,6,5,5,3,2,2,2,2
"V24",2,2,2,2,2,1,1,1,1
"V25",2,2,2,2,2,1,1,1,1
"V26",8,8,7,7,6,5,3,3,2
"V27",6,6,5,5,3,2,2,2,2
"V28",8,8,7,7,6,5,3,3,2
"V29",7,7,6,6,5,4,4,1,1
"V30",7,7,6,6,5,4,4,1,1
"V31",5,5,5,5,3,2,2,2,2
"V32",8,8,7,7,6,5,3,3,2
"V33",2,2,2,2,2,1,1,1,1
"V34",1,1,1,1,1,1,1,1,1
"V35",1,1,1,1,1,1,1,1,1
"V36",4,4,4,4,4,3,3,3,2
"V37",1,1,1,1,1,1,1,1,1
"V38",10,9,8,7,6,5,3,3,2
"V39",3,3,3,3,3,2,2,2,2
"V40",7,7,6,6,5,4,4,1,1
"V41",4,4,4,4,4,3,3,3,2
"V42",7,7,6,6,5,4,4,1,1
"V43",1,1,1,1,1,1,1,1,1
"V44",7,7,6,6,5,4,4,1,1
"V45",2,2,2,2,2,1,1,1,1
"V46",2,2,2,2,2,1,1,1,1
"V47",8,8,7,7,6,5,3,3,2
"V48",2,2,2,2,2,1,1,1,1
"V49",7,7,6,6,5,4,4,1,1
"V50",10,9,8,7,6,5,3,3,2
"V51",4,4,4,4,4,3,3,3,2
"V52",2,2,2,2,2,1,1,1,1
"V53",4,4,4,4,4,3,3,3,2
"V54",7,7,6,6,5,4,4,1,1
"V55",7,7,6,6,5,4,4,1,1
"V56",6,6,5,5,3,2,2,2,2
"V57",7,7,6,6,5,4,4,1,1
"V58",1,1,1,1,1,1,1,1,1
"V59",4,4,4,4,4,3,3,3,2
"V60",1,1,1,1,1,1,1,1,1
"V61",7,7,6,6,5,4,4,1,1
"V62",4,4,4,4,4,3,3,3,2
"V63",1,1,1,1,1,1,1,1,1
"V64",7,7,6,6,5,4,4,1,1
"V65",5,5,5,5,3,2,2,2,2
"V66",1,1,1,1,1,1,1,1,1
"V67",7,7,6,6,5,4,4,1,1
"V68",4,4,4,4,4,3,3,3,2
"V69",7,7,6,6,5,4,4,1,1
"V70",2,2,2,2,2,1,1,1,1
"V71",3,3,3,3,3,2,2,2,2
"V72",7,7,6,6,5,4,4,1,1
"V73",7,7,6,6,5,4,4,1,1
"V74",1,1,1,1,1,1,1,1,1
"V75",7,7,6,6,5,4,4,1,1
"V76",1,1,1,1,1,1,1,1,1
"V77",4,4,4,4,4,3,3,3,2
"V78",7,7,6,6,5,4,4,1,1
"V79",4,4,4,4,4,3,3,3,2
"V80",1,1,1,1,1,1,1,1,1
"V81",1,1,1,1,1,1,1,1,1
"V82",1,1,1,1,1,1,1,1,1
"V83",4,4,4,4,4,3,3,3,2
"V84",4,4,4,4,4,3,3,3,2
"V85",4,4,4,4,4,3,3,3,2
"V86",1,1,1,1,1,1,1,1,1
"V87",2,2,2,2,2,1,1,1,1
"V88",2,2,2,2,2,1,1,1,1
"V89",3,3,3,3,3,2,2,2,2
"V90",3,3,3,3,3,2,2,2,2
"V91",1,1,1,1,1,1,1,1,1
"V92",1,1,1,1,1,1,1,1,1
"V93",2,2,2,2,2,1,1,1,1
"V94",1,1,1,1,1,1,1,1,1
"V95",1,1,1,1,1,1,1,1,1
"V96",4,4,4,4,4,3,3,3,2
"V97",10,9,8,7,6,5,3,3,2
"V98",4,4,4,4,4,3,3,3,2
"V99",8,8,7,7,6,5,3,3,2
"V100",1,1,1,1,1,1,1,1,1
"V101",10,9,8,7,6,5,3,3,2
"V102",1,1,1,1,1,1,1,1,1
"V103",1,1,1,1,1,1,1,1,1
"V104",2,2,2,2,2,1,1,1,1
"V105",2,2,2,2,2,1,1,1,1
"V106",4,4,4,4,4,3,3,3,2
"V107",7,7,6,6,5,4,4,1,1
"V108",10,9,8,7,6,5,3,3,2
"V109",7,7,6,6,5,4,4,1,1
"V110",4,4,4,4,4,3,3,3,2
"V111",4,4,4,4,4,3,3,3,2
"V112",4,4,4,4,4,3,3,3,2
"V113",5,5,5,5,3,2,2,2,2
"V114",10,9,8,7,6,5,3,3,2
"V115",8,8,7,7,6,5,3,3,2
"V116",10,9,8,7,6,5,3,3,2
"V117",8,8,7,7,6,5,3,3,2
"V118",8,8,7,7,6,5,3,3,2
"V119",4,4,4,4,4,3,3,3,2
