"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",2,2,2,2,2,2,2,2,2
"V2",9,6,5,4,3,3,3,3,1
"V3",1,1,1,1,1,1,1,1,1
"V4",6,6,5,4,3,3,3,3,1
"V5",5,5,4,4,3,3,3,3,1
"V6",10,9,8,7,6,5,4,2,2
"V7",5,5,4,4,3,3,3,3,1
"V8",3,3,3,3,1,1,1,1,1
"V9",4,4,3,3,1,1,1,1,1
"V10",7,7,6,5,4,4,2,2,2
"V11",8,8,7,6,5,5,4,2,2
"V12",6,6,5,4,3,3,3,3,1
"V13",2,2,2,2,2,2,2,2,2
"V14",7,7,6,5,4,4,2,2,2
"V15",4,4,3,3,1,1,1,1,1
"V16",3,3,3,3,1,1,1,1,1
"V17",1,1,1,1,1,1,1,1,1
"V18",7,7,6,5,4,4,2,2,2
"V19",8,8,7,6,5,5,4,2,2
"V20",8,8,7,6,5,5,4,2,2
"V21",1,1,1,1,1,1,1,1,1
"V22",2,2,2,2,2,2,2,2,2
"V23",6,6,5,4,3,3,3,3,1
"V24",3,3,3,3,1,1,1,1,1
"V25",3,3,3,3,1,1,1,1,1
"V26",4,4,3,3,1,1,1,1,1
"V27",6,6,5,4,3,3,3,3,1
"V28",4,4,3,3,1,1,1,1,1
"V29",8,8,7,6,5,5,4,2,2
"V30",10,9,8,7,6,5,4,2,2
"V31",9,6,5,4,3,3,3,3,1
"V32",4,4,3,3,1,1,1,1,1
"V33",7,7,6,5,4,4,2,2,2
"V34",7,7,6,5,4,4,2,2,2
"V35",7,7,6,5,4,4,2,2,2
"V36",2,2,2,2,2,2,2,2,2
"V37",2,2,2,2,2,2,2,2,2
"V38",1,1,1,1,1,1,1,1,1
"V39",5,5,4,4,3,3,3,3,1
"V40",10,9,8,7,6,5,4,2,2
"V41",10,9,8,7,6,5,4,2,2
"V42",8,8,7,6,5,5,4,2,2
